experiment,type,step,layer,dim_before,dim_during,dim_after,dim_change,loss_before,loss_after,loss_change,coordination
CNN,"Type 5 (early, large)",0,conv_layers.0,0.99999999999948,0.99999999999948,0.9999999999994712,8.770761894538737e-15,2.3024816513061523,2.222975969314575,-0.07950568199157715,0.0
CNN,"Type 5 (early, large)",0,conv_layers.9,0.9999999999997783,0.9999999999997783,0.9999999999997286,4.973799150320701e-14,2.3024816513061523,2.222975969314575,-0.07950568199157715,0.0
CNN,"Type 3 (mid, moderate)",16,conv_layers.0,0.9999999999994759,0.9999999999994678,0.999999999999471,4.884981308350689e-15,2.2909317016601562,1.2878072261810303,-1.003124475479126,0.0
CNN,"Type 4 (late, large)",82,conv_layers.0,0.9999999999994641,0.9999999999994593,0.9999999999994574,6.661338147750939e-15,0.23314908146858215,0.4264191687107086,0.19327008724212646,0.0
CNN,"Type 4 (late, large)",84,conv_layers.0,0.9999999999994641,0.9999999999994593,0.9999999999994574,6.661338147750939e-15,0.23314908146858215,0.4264191687107086,0.19327008724212646,0.0
