jump_num,type,step,phase,cluster,target_layer,dim_before,dim_during,dim_after,dim_change,loss_before,loss_after,loss_change,num_coordinated_layers
1,"Type 3 (mid, moderate)",111,0.0555,2,transformer.layers.3.linear2,0.9999999999712591,0.9999999999786459,0.9999999999711859,7.316369732279782e-14,0.9546574950218201,1.0887670516967773,0.13410955667495728,0
2,"Type 5 (early, large)",343,0.1715,4,transformer.layers.5.linear2,0.9999999998877581,0.9999999998500344,0.9999999998379158,4.984235246752178e-11,0.18685540556907654,0.21386268734931946,0.02700728178024292,0
3,"Type 5 (early, large)",367,0.1835,4,transformer.layers.5.linear2,0.9999999998571582,0.9999999998557936,0.9999999998593573,2.19912976717751e-12,0.27915793657302856,0.4609965980052948,0.18183866143226624,0
4,"Type 4 (late, large)",395,0.1975,4,transformer.layers.2.linear2,0.9999999999404429,0.9999999999512482,0.9999999999527501,1.230726631717971e-11,0.488972008228302,0.20240920782089233,-0.28656280040740967,0
5,"Type 4 (late, large)",396,0.198,4,transformer.layers.5.linear2,0.9999999998604154,0.9999999997602974,0.9999999998215542,3.886124755325682e-11,0.488972008228302,0.20240920782089233,-0.28656280040740967,0
